OrderID,CustomerID,TransactionDate,ProductCategory,ProductName,UnitPrice,Quantity,TotalAmount,PaymentMethod,Status
ORD100000,CUST1102,2026-08-12,Clothing,Crewneck Sweater,51.34,1,51.34,Crypto,Completed
ORD100001,CUST1179,2026-08-27,Home & Kitchen,Hydro Flask,39.77,2,79.54,PayPal,Completed
ORD100002,CUST1092,2026-06-26,Home & Kitchen,Ninja Blender,108.55,2,217.1,PayPal,Completed
ORD100003,CUST1014,2026-01-11,Clothing,Nike Hoodie,58.67,1,58.67,Apple Pay,Completed
ORD100004,CUST1106,2026-03-26,Clothing,Carhartt Jacket,97.95,1,97.95,Crypto,Completed
ORD100005,CUST1071,2026-01-26,Clothing,Nike Hoodie,35.54,1,35.54,Apple Pay,Cancelled
ORD100006,CUST1188,2026-03-04,Books,Cookbook,16.37,1,16.37,Credit Card,Completed
ORD100007,CUST1020,2026-08-05,Clothing,Levi Jeans,77.1,2,154.2,PayPal,Completed
ORD100008,CUST1102,2026-03-27,Clothing,Nike Hoodie,48.07,1,48.07,PayPal,Completed
ORD100009,CUST1121,2026-02-28,Clothing,Crewneck Sweater,40.68,3,122.04,Credit Card,Completed
ORD100010,CUST1210,2026-01-27,Clothing,Carhartt Jacket,127.82,1,127.82,Credit Card,Completed
ORD100011,CUST1214,2026-06-26,Books,Sci-Fi Novel,24.87,1,24.87,Apple Pay,Completed
ORD100012,CUST1074,2026-07-24,Clothing,Nike Hoodie,48.58,1,48.58,PayPal,Completed
ORD100013,CUST1202,2026-06-10,Home & Kitchen,Hydro Flask,47.11,1,47.11,Credit Card,Completed
ORD100014,CUST1087,2026-04-08,Home & Kitchen,Memory Foam Pillow,38.51,2,77.02,PayPal,Completed
ORD100015,CUST1116,2026-04-15,Clothing,Nike Hoodie,51.72,2,103.44,Credit Card,Completed
ORD100016,CUST1099,2026-04-09,Clothing,Levi Jeans,138.95,1,138.95,Credit Card,Completed
ORD100017,CUST1103,2026-05-09,Books,Financial Freedom Manual,22.75,1,22.75,Apple Pay,Returned
ORD100018,CUST1151,2026-05-29,Clothing,Carhartt Jacket,74.97,1,74.97,Credit Card,Completed
ORD100019,CUST1130,2026-08-28,Clothing,Carhartt Jacket,98.47,1,98.47,Credit Card,Completed
ORD100020,CUST1149,2026-02-24,Books,Financial Freedom Manual,13.77,1,13.77,Crypto,Completed
ORD100021,CUST1052,2026-01-06,Electronics,iPhone 15,770.13,1,770.13,Credit Card,Returned
ORD100022,CUST1001,2026-08-08,Electronics,Anker Power Bank,23.28,1,23.28,Credit Card,Completed
ORD100023,CUST1087,2026-07-28,Clothing,Carhartt Jacket,130.53,3,391.59,Crypto,Completed
ORD100024,CUST1235,2026-07-16,Books,Cookbook,22.88,1,22.88,PayPal,Completed
ORD100025,CUST1157,2026-04-05,Electronics,Logitech Mouse,37.4,1,37.4,PayPal,Completed
ORD100026,CUST1037,2026-05-13,Electronics,MacBook Air,1044.65,1,1044.65,Apple Pay,Completed
ORD100027,CUST1129,2026-04-12,Electronics,AirPods Pro,130.05,1,130.05,Credit Card,Completed
ORD100028,CUST1191,2026-01-03,Electronics,iPhone 15,752.71,1,752.71,PayPal,Completed
ORD100029,CUST1187,2026-06-30,Electronics,iPhone 15,759.41,3,2278.23,PayPal,Completed
ORD100030,CUST1020,2026-01-23,Clothing,Adidas Sneakers,142.73,2,285.46,Apple Pay,Completed
ORD100031,CUST1160,2026-08-17,Clothing,Nike Hoodie,44.76,1,44.76,PayPal,Returned
ORD100032,CUST1203,2026-02-22,Electronics,MacBook Air,960.54,1,960.54,PayPal,Cancelled
ORD100033,CUST1057,2026-06-14,Clothing,Carhartt Jacket,106.13,1,106.13,Credit Card,Completed
ORD100034,CUST1021,2026-07-21,Electronics,MacBook Air,988.03,2,1976.06,Credit Card,Completed
ORD100035,CUST1235,2026-07-21,Clothing,Adidas Sneakers,105.28,1,105.28,Apple Pay,Completed
ORD100036,CUST1088,2026-03-24,Clothing,Adidas Sneakers,86.29,1,86.29,PayPal,Completed
