study_hours,practice_tests,attendance_pct,sleep_hours,passed
5.12,2,75.0,5.24,1
11.46,6,75.8,5.99,1
9.05,2,78.4,7.91,1
7.59,5,91.4,6.84,1
2.72,4,95.7,5.42,0
2.72,6,98.2,8.45,1
1.64,1,91.5,8.46,1
10.53,1,72.6,8.42,1
7.61,3,87.5,5.57,1
8.79,3,77.5,6.53,1
1.23,4,70.2,8.93,0
11.67,5,93.6,7.97,1
10.16,2,61.5,4.62,1
3.34,8,96.1,4.79,1
3.0,3,78.5,6.59,0
3.02,1,85.5,8.59,1
4.35,2,86.4,6.92,1
6.77,2,95.8,6.74,1
5.75,4,85.5,4.97,1
4.2,6,84.6,7.46,1
7.73,7,62.7,8.2,1
2.53,6,80.7,6.21,0
4.21,2,66.0,7.99,1
5.03,5,89.5,8.84,1
6.02,5,80.5,5.42,1
9.64,4,87.2,6.85,1
3.2,4,61.7,5.79,1
6.66,3,63.4,8.07,1
7.52,2,88.7,7.1,1
1.51,3,62.9,7.36,0
7.68,8,62.9,8.09,1
2.88,5,60.5,6.28,1
1.72,0,98.3,8.62,1
11.44,2,89.5,6.9,1
11.62,5,74.1,5.21,1
9.89,4,71.9,7.63,1
4.35,5,74.0,8.07,1
2.07,9,91.0,5.93,1
8.53,6,86.5,8.36,1
5.84,3,67.4,8.58,1
2.34,7,67.0,5.75,0
6.45,8,63.9,8.93,1
1.38,1,86.4,5.13,0
11.0,8,90.6,5.41,1
3.85,2,70.6,5.33,0
8.29,10,60.8,8.52,1
4.43,6,63.3,7.44,1
6.72,8,98.7,5.18,1
7.01,1,71.8,6.48,1
3.03,4,90.8,7.27,1
11.67,0,85.0,4.88,1
9.53,5,75.3,8.47,1
11.33,6,68.2,8.12,1
10.84,6,64.9,6.77,1
7.58,2,84.6,8.85,1
11.14,1,91.0,6.38,1
1.97,2,85.8,8.93,1
3.16,4,81.2,7.51,0
1.5,2,61.7,7.36,0
4.58,2,98.7,5.25,0
5.28,1,91.9,8.47,1
3.98,3,71.7,6.42,0
10.12,3,99.2,5.23,1
4.92,3,84.1,4.56,0
4.09,4,83.3,7.02,0
6.97,5,89.9,6.87,1
2.55,1,92.5,7.74,0
9.82,5,86.3,8.51,1
1.82,3,65.1,4.86,0
11.86,1,73.5,7.79,1
9.49,2,97.1,5.34,1
3.19,5,69.0,8.36,1
1.06,4,74.9,8.19,0
9.97,4,77.3,6.93,1
8.78,3,77.6,7.7,1
9.02,2,84.5,5.91,1
9.48,2,97.7,6.62,1
1.81,3,69.6,8.2,0
4.94,6,64.9,6.57,1
2.27,5,67.9,6.11,0
10.49,4,95.5,6.72,1
7.86,2,85.8,8.23,1
4.64,3,71.4,6.01,1
1.7,2,92.6,5.28,1
4.42,1,94.5,7.7,1
4.58,7,93.9,8.22,1
9.03,5,96.8,4.95,1
8.01,3,70.1,5.58,1
10.76,5,90.2,5.14,1
6.19,3,78.4,6.07,1
2.32,6,93.7,6.53,1
8.85,4,89.1,7.87,1
9.37,5,91.1,7.43,0
7.17,5,86.2,7.29,1
9.48,4,67.1,6.09,1
6.43,2,81.8,8.29,1
6.75,5,99.4,6.62,1
5.7,4,97.5,8.91,1
1.28,6,61.7,7.35,0
2.19,4,66.6,5.07,0
1.35,5,65.3,7.54,0
8.0,0,89.0,5.96,1
4.46,8,92.7,7.59,1
6.59,5,68.5,4.81,0
10.98,7,80.2,5.29,1
3.74,2,93.6,8.35,1
5.51,0,89.3,5.52,1
9.31,5,81.7,8.27,1
3.52,4,83.6,5.76,1
1.85,4,80.3,7.39,0
4.19,2,71.9,7.62,1
2.77,3,82.6,6.81,0
11.23,3,87.6,5.87,1
9.89,3,94.9,5.46,1
7.97,3,85.5,4.65,0
10.59,2,90.4,5.87,1
9.84,5,66.4,7.44,1
3.05,4,78.5,8.72,0
10.82,3,60.4,8.42,1
6.93,3,69.9,7.95,0
9.88,3,89.1,8.05,1
10.86,2,99.7,7.49,1
4.5,2,64.0,5.67,0
2.21,6,76.1,8.58,1
3.51,2,92.0,7.52,0
5.7,1,68.2,7.02,1
10.0,1,82.2,5.0,1
10.47,5,89.3,6.51,1
1.08,4,84.6,6.57,1
6.62,5,67.5,8.39,1
5.59,5,74.2,6.96,0
3.44,4,91.4,6.21,1
2.32,5,82.2,8.9,0
4.71,3,60.2,5.0,1
11.37,4,90.4,6.4,1
4.56,6,61.4,4.69,0
6.71,4,89.8,7.83,1
8.73,2,68.1,8.63,1
5.0,3,98.3,5.76,0
11.69,5,74.7,8.36,1
11.59,3,73.1,5.81,1
3.77,2,66.0,8.6,0
6.47,4,72.2,7.89,1
4.31,4,95.1,8.12,0
4.13,5,99.9,4.58,1
1.41,3,74.7,8.83,0
7.71,7,77.9,7.77,1
6.53,4,88.9,5.87,0
1.57,5,95.4,8.23,1
4.07,2,83.7,5.77,1
10.99,9,75.7,8.43,1
3.64,2,76.5,5.01,1
2.59,1,87.8,7.67,0
6.38,3,60.1,6.93,1
11.84,6,84.8,4.93,1
3.66,1,74.2,5.59,0
8.39,2,91.8,4.56,1
9.38,8,63.7,6.61,1
3.61,7,83.5,5.86,1
9.01,3,79.2,7.19,0
5.05,1,85.7,5.84,1
7.96,6,62.6,5.85,0
7.97,4,83.2,7.84,1
6.89,5,82.5,4.72,1
1.99,3,82.4,8.56,1
10.19,3,84.1,8.34,1
4.53,5,87.1,7.51,1
3.05,5,92.2,7.17,0
1.45,4,70.8,8.52,1
7.5,6,93.0,5.33,1
8.45,3,79.9,4.86,1
1.18,4,63.1,5.58,0
6.63,2,62.3,8.08,1
3.49,7,73.4,4.66,0
8.1,10,91.4,7.12,1
2.92,4,88.3,8.98,1
8.6,4,91.5,8.35,1
5.25,3,80.7,6.85,1
11.3,5,77.6,4.79,1
2.51,5,65.9,8.24,1
4.75,5,73.1,7.2,1
2.25,2,77.4,5.02,0
11.17,2,63.5,4.92,1
10.65,5,68.8,8.59,1
3.84,2,83.9,7.51,0
8.26,1,89.4,8.23,0
9.99,6,99.9,8.46,1
7.11,4,97.3,7.07,0
6.83,3,85.7,6.83,1
3.66,5,76.8,6.44,1
2.02,5,85.4,5.93,1
10.87,1,91.4,6.46,1
10.9,5,64.7,7.98,1
7.96,7,76.4,7.21,1
4.73,5,93.6,8.52,1
4.84,4,75.4,6.5,1
8.99,4,82.9,7.23,1
